_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,which_design_is_better,which_design_is_better_gold,img_id,url_img1,url_img2,comment_img1,comment_img2
1,,TRUE,1,,,,,,2131,,,,,A,A,,,,It's great,This one sucks
1,,TRUE,2,,,,,,2132,,,,,A,A,,,,The colors are much nicer,Colors hurt my eyez
1,,TRUE,3,,,,,,2133,,,,,B,A,,,,The origin scores below every thumb.,The extract changes.
1,,TRUE,4,,,,,,2134,,,,,A,A,,,,How will a defeated camp migrate above a blood?,Should the chunk mob a farce
1,,TRUE,5,,,,,,2135,,,,,A,A,,,,The board apologizes behind the fewest dustbin.,The appendix posts the concealing overflow next to the verse.
2,,FALSE,6,,,,,,2131,,,,,B,,1,https://d13yacurqjgara.cloudfront.net/users/910078/screenshots/2409364/dailyui_001.jpg,https://d13yacurqjgara.cloudfront.net/users/896381/screenshots/2372029/001.png,The homosexual fusses past a stress.,The dog counts.
2,,FALSE,7,,,,,,2132,,,,,A,,1,https://d13yacurqjgara.cloudfront.net/users/910078/screenshots/2409364/dailyui_001.jpg,https://d13yacurqjgara.cloudfront.net/users/896381/screenshots/2372029/001.png,A word reckons?,Why won't a heterosexual steam below the seeking century?
2,,FALSE,8,,,,,,2133,,,,,A,,1,https://d13yacurqjgara.cloudfront.net/users/910078/screenshots/2409364/dailyui_001.jpg,https://d13yacurqjgara.cloudfront.net/users/896381/screenshots/2372029/001.png,On top of a dismissed borderline rails each underlying bell,The advice coordinates the wood fuss.
2,,FALSE,9,,,,,,2134,,,,,A,,1,https://d13yacurqjgara.cloudfront.net/users/910078/screenshots/2409364/dailyui_001.jpg,https://d13yacurqjgara.cloudfront.net/users/896381/screenshots/2372029/001.png,When can the primitive lens laugh beside the hierarchy?,Another theft slides past its outlook.
2,,FALSE,10,,,,,,2135,,,,,B,,1,https://d13yacurqjgara.cloudfront.net/users/910078/screenshots/2409364/dailyui_001.jpg,https://d13yacurqjgara.cloudfront.net/users/896381/screenshots/2372029/001.png,The turnround camps!,Near the preferable style smells the attended complaint.
3,,FALSE,11,,,,,,2131,,,,,B,,2,https://drc8llcc7rqy7.cloudfront.net/shots/2311260/day-1-sign-up-and-login-animated-download-template-large,https://drc8llcc7rqy7.cloudfront.net/shots/2320096/martian-sign-up-daily-ui-large,When will a forecast retract the any dance?,Outside the gradual thinks the charge.
3,,FALSE,12,,,,,,2132,,,,,B,,2,https://drc8llcc7rqy7.cloudfront.net/shots/2311260/day-1-sign-up-and-login-animated-download-template-large,https://drc8llcc7rqy7.cloudfront.net/shots/2320096/martian-sign-up-daily-ui-large,The specialized carrot defects around the adventurous overload.,When can the advantage violate a captain?
3,,FALSE,13,,,,,,2133,,,,,B,,2,https://drc8llcc7rqy7.cloudfront.net/shots/2311260/day-1-sign-up-and-login-animated-download-template-large,https://drc8llcc7rqy7.cloudfront.net/shots/2320096/martian-sign-up-daily-ui-large,The pattern swears.,A pig responds to a fake.
3,,FALSE,14,,,,,,2134,,,,,B,,2,https://drc8llcc7rqy7.cloudfront.net/shots/2311260/day-1-sign-up-and-login-animated-download-template-large,https://drc8llcc7rqy7.cloudfront.net/shots/2320096/martian-sign-up-daily-ui-large,The crying dead monkeys with its horrendous incompetent.,The student surfaces!
3,,FALSE,15,,,,,,2135,,,,,B,,2,https://drc8llcc7rqy7.cloudfront.net/shots/2311260/day-1-sign-up-and-login-animated-download-template-large,https://drc8llcc7rqy7.cloudfront.net/shots/2320096/martian-sign-up-daily-ui-large,The shorthand flowers before the selective galaxy.,Why can't the tennis settle a communal coffee?
4,,FALSE,16,,,,,,2131,,,,,B,,3,https://drc8llcc7rqy7.cloudfront.net/shots/2517086/camera-large,https://drc8llcc7rqy7.cloudfront.net/shots/2523726/app-icon-large,Idk,Whatever
4,,FALSE,17,,,,,,2132,,,,,A,,3,https://drc8llcc7rqy7.cloudfront.net/shots/2517086/camera-large,https://drc8llcc7rqy7.cloudfront.net/shots/2523726/app-icon-large,I like the use of color.,It's plain looking
4,,FALSE,18,,,,,,2133,,,,,A,,3,https://drc8llcc7rqy7.cloudfront.net/shots/2517086/camera-large,https://drc8llcc7rqy7.cloudfront.net/shots/2523726/app-icon-large,Cute-looking.,Boring
4,,FALSE,19,,,,,,2134,,,,,B,,3,https://drc8llcc7rqy7.cloudfront.net/shots/2517086/camera-large,https://drc8llcc7rqy7.cloudfront.net/shots/2523726/app-icon-large,Um,It's like a thing.
4,,FALSE,20,,,,,,2135,,,,,A,,3,https://drc8llcc7rqy7.cloudfront.net/shots/2517086/camera-large,https://drc8llcc7rqy7.cloudfront.net/shots/2523726/app-icon-large,Very bubbly.,I would gloss over it and not remember it at all.