_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,img_comment1_score,img_comment1_score_gold,img_comment2_score,img_comment2_score_gold,img_comment3_score,img_comment3_score_gold,img_comment4_score,img_comment4_score_gold,img_comment5_score,img_comment5_score_gold,id,img_id,img_comment1,img_comment2,img_comment3,img_comment4,img_comment5
1,,TRUE,,,,,,,11111,,,,,0,0,,don't care,,don't care,,don't care,,don't care,0,0,Magazine paper eats sweatshirt.,"Actual comment, we don't care","Actual comment, we don't care","Actual comment, we don't care","Actual comment, we don't care"
1,,TRUE,,,,,,,22222,,,,,3,0,,don't care,,don't care,,don't care,,don't care,0,0,Magazine paper eats sweatshirt.,"Actual comment, we don't care","Actual comment, we don't care","Actual comment, we don't care","Actual comment, we don't care"
1,,TRUE,,,,,,,33333,,,,,0,0,,don't care,,don't care,,don't care,,don't care,0,0,Magazine paper eats sweatshirt.,"Actual comment, we don't care","Actual comment, we don't care","Actual comment, we don't care","Actual comment, we don't care"
1,,TRUE,,,,,,,44444,,,,,0,0,,don't care,,don't care,,don't care,,don't care,0,0,Magazine paper eats sweatshirt.,"Actual comment, we don't care","Actual comment, we don't care","Actual comment, we don't care","Actual comment, we don't care"
1,,TRUE,,,,,,,55555,,,,,0,0,,don't care,,don't care,,don't care,,don't care,0,0,Magazine paper eats sweatshirt.,"Actual comment, we don't care","Actual comment, we don't care","Actual comment, we don't care","Actual comment, we don't care"
2,,FALSE,,,,,,,11111,,,,,4,,3,,4,,2,,4,,1,1,The homosexual fusses past a stress.,A word reckons?,On top of a dismissed borderline rails each underlying bell,When can the primitive lens laugh beside the hierarchy?,The turnround camps!
2,,FALSE,,,,,,,22222,,,,,2,,1,,4,,1,,4,,1,1,The homosexual fusses past a stress.,A word reckons?,On top of a dismissed borderline rails each underlying bell,When can the primitive lens laugh beside the hierarchy?,The turnround camps!
2,,FALSE,,,,,,,33333,,,,,5,,2,,3,,3,,4,,1,1,The homosexual fusses past a stress.,A word reckons?,On top of a dismissed borderline rails each underlying bell,When can the primitive lens laugh beside the hierarchy?,The turnround camps!
2,,FALSE,,,,,,,44444,,,,,4,,2,,3,,4,,4,,1,1,The homosexual fusses past a stress.,A word reckons?,On top of a dismissed borderline rails each underlying bell,When can the primitive lens laugh beside the hierarchy?,The turnround camps!
2,,FALSE,,,,,,,55555,,,,,3,,4,,4,,5,,2,,1,1,The homosexual fusses past a stress.,A word reckons?,On top of a dismissed borderline rails each underlying bell,When can the primitive lens laugh beside the hierarchy?,The turnround camps!
3,,FALSE,,,,,,,11111,,,,,1,,5,,2,,2,,3,,2,1,The dog counts.,Why won't a heterosexual steam below the seeking century?,The advice coordinates the wood fuss.,Another theft slides past its outlook.,Near the preferable style smells the attended complaint.
3,,FALSE,,,,,,,22222,,,,,2,,3,,5,,,,5,,2,1,The dog counts.,Why won't a heterosexual steam below the seeking century?,The advice coordinates the wood fuss.,Another theft slides past its outlook.,Near the preferable style smells the attended complaint.
3,,FALSE,,,,,,,33333,,,,,1,,2,,1,,2,,4,,2,1,The dog counts.,Why won't a heterosexual steam below the seeking century?,The advice coordinates the wood fuss.,Another theft slides past its outlook.,Near the preferable style smells the attended complaint.
3,,FALSE,,,,,,,44444,,,,,3,,4,,1,,1,,3,,2,1,The dog counts.,Why won't a heterosexual steam below the seeking century?,The advice coordinates the wood fuss.,Another theft slides past its outlook.,Near the preferable style smells the attended complaint.
3,,FALSE,,,,,,,55555,,,,,2,,3,,1,,1,,1,,2,1,The dog counts.,Why won't a heterosexual steam below the seeking century?,The advice coordinates the wood fuss.,Another theft slides past its outlook.,Near the preferable style smells the attended complaint.
4,,FALSE,,,,,,,11111,,,,,3,,2,,2,,1,,2,,3,2,When will a forecast retract the any dance?,The specialized carrot defects around the adventurous overload.,The pattern swears.,The crying dead monkeys with its horrendous incompetent.,The shorthand flowers before the selective galaxy.
4,,FALSE,,,,,,,22222,,,,,5,,1,,2,,1,,3,,3,2,When will a forecast retract the any dance?,The specialized carrot defects around the adventurous overload.,The pattern swears.,The crying dead monkeys with its horrendous incompetent.,The shorthand flowers before the selective galaxy.
4,,FALSE,,,,,,,33333,,,,,1,,2,,2,,2,,2,,3,2,When will a forecast retract the any dance?,The specialized carrot defects around the adventurous overload.,The pattern swears.,The crying dead monkeys with its horrendous incompetent.,The shorthand flowers before the selective galaxy.
4,,FALSE,,,,,,,44444,,,,,2,,2,,4,,3,,1,,3,2,When will a forecast retract the any dance?,The specialized carrot defects around the adventurous overload.,The pattern swears.,The crying dead monkeys with its horrendous incompetent.,The shorthand flowers before the selective galaxy.
4,,FALSE,,,,,,,55555,,,,,4,,3,,4,,4,,4,,3,2,When will a forecast retract the any dance?,The specialized carrot defects around the adventurous overload.,The pattern swears.,The crying dead monkeys with its horrendous incompetent.,The shorthand flowers before the selective galaxy.
5,,FALSE,,,,,,,11111,,,,,3,,4,,5,,3,,3,,4,2,Outside the gradual thinks the charge.,When can the advantage violate a captain?,A pig responds to a fake.,The student surfaces!,Why can't the tennis settle a communal coffee?
5,,FALSE,,,,,,,22222,,,,,1,,4,,1,,2,,2,,4,2,Outside the gradual thinks the charge.,When can the advantage violate a captain?,A pig responds to a fake.,The student surfaces!,Why can't the tennis settle a communal coffee?
5,,FALSE,,,,,,,33333,,,,,4,,5,,1,,3,,3,,4,2,Outside the gradual thinks the charge.,When can the advantage violate a captain?,A pig responds to a fake.,The student surfaces!,Why can't the tennis settle a communal coffee?
5,,FALSE,,,,,,,44444,,,,,4,,2,,5,,4,,4,,4,2,Outside the gradual thinks the charge.,When can the advantage violate a captain?,A pig responds to a fake.,The student surfaces!,Why can't the tennis settle a communal coffee?
5,,FALSE,,,,,,,55555,,,,,3,,3,,5,,5,,3,,4,2,Outside the gradual thinks the charge.,When can the advantage violate a captain?,A pig responds to a fake.,The student surfaces!,Why can't the tennis settle a communal coffee?
6,,FALSE,,,,,,,11111,,,,,2,,5,,4,,5,,2,,5,3,Idk,I like the use of color.,Cute-looking.,Um,Very bubbly.
6,,FALSE,,,,,,,22222,,,,,5,,2,,4,,4,,1,,5,3,Idk,I like the use of color.,Cute-looking.,Um,Very bubbly.
6,,FALSE,,,,,,,33333,,,,,1,,3,,4,,3,,5,,5,3,Idk,I like the use of color.,Cute-looking.,Um,Very bubbly.
6,,FALSE,,,,,,,44444,,,,,2,,4,,3,,2,,4,,5,3,Idk,I like the use of color.,Cute-looking.,Um,Very bubbly.
6,,FALSE,,,,,,,55555,,,,,4,,1,,3,,3,,5,,5,3,Idk,I like the use of color.,Cute-looking.,Um,Very bubbly.
7,,FALSE,,,,,,,11111,,,,,3,,2,,2,,4,,2,,6,3,Whatever,It's plain looking,Boring,It's like a thing.,I would gloss over it and not remember it at all.
7,,FALSE,,,,,,,22222,,,,,3,,3,,2,,5,,2,,6,3,Whatever,It's plain looking,Boring,It's like a thing.,I would gloss over it and not remember it at all.
7,,FALSE,,,,,,,33333,,,,,3,,4,,1,,2,,2,,6,3,Whatever,It's plain looking,Boring,It's like a thing.,I would gloss over it and not remember it at all.
7,,FALSE,,,,,,,44444,,,,,3,,2,,5,,1,,1,,6,3,Whatever,It's plain looking,Boring,It's like a thing.,I would gloss over it and not remember it at all.
7,,FALSE,,,,,,,55555,,,,,3,,2,,4,,2,,3,,6,3,Whatever,It's plain looking,Boring,It's like a thing.,I would gloss over it and not remember it at all.